user_id,user_gender,user_age,age_group,country,location,interests,new_user_id
a2474,Female,24,18-24,United Kingdom,New Mariomouth,"fitness, health",1
1.41E+07,Male,21,18-24,Germany,Danielsfort,"food, fitness, lifestyle",2
34db0,Male,27,25-34,Australia,Vincentchester,"fashion, news",3
20d08,Female,28,25-34,India,Lisaport,"health, news, finance",4
9e830,Male,28,25-34,United States,Brownmouth,"health, photography, lifestyle",5
cea78,Male,33,25-34,Australia,North Chad,fitness,6
8416b,Male,22,18-24,Mexico,Gallagherbury,"health, technology, news",7
53afb,Male,31,25-34,India,Chambersport,travel,8
e3f22,Male,25,25-34,Canada,West Phillip,fashion,9
1820,Female,32,25-34,Canada,West Carla,"gaming, lifestyle",10
73f8a,Male,19,18-24,United Kingdom,Justinview,"news, health",11
a4089,Male,35,35-44,Japan,Wardmouth,food,12
b759f,Male,35,35-44,Canada,Edwardsmouth,fashion,13
b11c1,Female,27,25-34,United States,New Steven,health,14
90619,Female,24,18-24,Japan,Lake Courtneyfort,finance,15
7332b,Female,20,18-24,France,East Sierrafort,"news, lifestyle, travel",16
72304,Other,21,18-24,India,South Ryanmouth,"photography, sports",17
7dfcf,Male,24,18-24,United States,North Cindy,"news, travel",18
44b7d,Male,23,18-24,United States,Knightton,finance,19
e37ba,Other,23,18-24,United Kingdom,East Adam,"lifestyle, news, art",20
027c7,Female,34,25-34,Canada,Lake Cheryl,"photography, lifestyle",21
d2628,Other,33,25-34,Japan,Port Elizabeth,"travel, gaming",22
73e4a,Male,30,25-34,United States,Peterchester,"gaming, health, photography",23
b3c74,Female,31,25-34,Germany,Port Kristina,"lifestyle, art",24
56b94,Male,25,25-34,Canada,East Austin,"fitness, photography",25
f032e,Male,35,35-44,United States,Port Christine,"sports, finance",26
2ac33,Female,29,25-34,Brazil,South Carlaborough,fitness,27
4ff04,Male,20,18-24,India,Brandiland,fitness,28
418c3,Female,38,35-44,United States,East William,"food, fitness",29
fb5e6,Male,20,18-24,United States,West Brandonshire,"travel, technology",30
f3538,Female,31,25-34,Canada,Leeside,"photography, travel, art",31
79803,Male,37,35-44,Canada,East Karen,travel,32
62728,Male,25,25-34,United States,South Michaelbury,art,33
882de,Male,23,18-24,Canada,Lake Monica,food,34
7204f,Male,25,25-34,Germany,Garciatown,finance,35
287ba,Male,18,18-24,Japan,Webbmouth,art,36
0.00E+00,Female,45,45-54,Canada,Shawnhaven,"fashion, health, news",37
6a960,Female,23,18-24,United States,East Wanda,"fashion, gaming",38
d915e,Female,23,18-24,Canada,Port Nancy,technology,39
d8071,Male,16,16-17,Japan,Danielview,"lifestyle, health, finance",40
1a4dd,Male,34,25-34,United States,Kingside,"art, news",41
f6fe8,Male,16,16-17,India,Collierfurt,"fashion, sports, fitness",42
357ea,Male,31,25-34,Brazil,Weaverfurt,"travel, technology, news",43
0ff2f,Female,28,25-34,United States,Walterberg,photography,44
816a3,Male,18,18-24,Canada,South Lynn,"sports, technology",45
d209e,Male,20,18-24,Canada,East Brett,"health, sports",46
b708c,Male,41,35-44,Japan,West Jasonmouth,"photography, sports",47
57796,Male,22,18-24,Canada,Hodgesstad,"art, sports, food",48
64a7b,Male,38,35-44,Germany,Port Wandaville,"travel, technology",49
16e2b,Male,28,25-34,United States,Port Rhonda,"health, finance, travel",50
5e657,Male,35,35-44,United Kingdom,North Denise,"health, fitness, fashion",51
31a47,Male,23,18-24,United States,Port Derek,"food, finance, fashion",52
81518,Female,20,18-24,Germany,Stacymouth,fitness,53
d684a,Male,28,25-34,United States,New Deborah,health,54
1592c,Male,18,18-24,United Kingdom,West Carrie,"finance, travel",55
ffa49,Female,31,25-34,United Kingdom,West Keith,"fitness, art",56
d5179,Female,25,25-34,United States,New Leemouth,fitness,57
3aadb,Male,45,45-54,India,Matthewborough,"finance, news, sports",58
9e8a6,Male,16,16-17,Germany,Port Kristin,news,59
569f4,Female,32,25-34,Australia,Frostton,gaming,60
193ff,Other,18,18-24,Australia,Port Ryan,"fashion, finance",61
f7ed0,Male,34,25-34,Germany,North Henry,"lifestyle, fitness",62
10624,Female,16,16-17,France,Gregport,"travel, gaming",63
6dbad,Female,26,25-34,India,Davischester,"fitness, travel, gaming",64
db310,Male,65,55-65,France,Lake Joseph,fitness,65
722ab,Female,25,25-34,Germany,West Anthonytown,"art, fitness",66
4515c,Female,43,35-44,United States,Lake Matthew,"gaming, sports, food",67
02d20,Other,19,18-24,Canada,Josephland,"lifestyle, art",68
f8d8a,Male,16,16-17,United States,Lake Jason,"travel, fitness",69
3e340,Female,19,18-24,Japan,Stephenland,"finance, news, food",70
25864,Male,20,18-24,United Kingdom,Ashleyshire,food,71
cf12b,Female,45,45-54,United States,Port Margaret,health,72
2cff5,Female,16,16-17,United States,East Jessicamouth,"travel, fitness, technology",73
6ff56,Female,26,25-34,United States,Christopherfort,"photography, finance",74
cbbe0,Male,28,25-34,Brazil,New Williambury,technology,75
47df7,Male,29,25-34,Australia,North Nathanielburgh,"sports, fitness, technology",76
bc806,Male,43,35-44,United States,Torresfurt,"technology, fashion",77
10984,Male,16,16-17,United States,Lake Kylie,"lifestyle, travel",78
4a929,Male,22,18-24,United Kingdom,West David,"sports, travel, technology",79
76046,Other,30,25-34,Canada,Port Katie,"art, health",80
f78e5,Male,18,18-24,United States,Lake David,"finance, sports, travel",81
850d4,Female,27,25-34,India,West Lorimouth,"fitness, health, food",82
84ef1,Male,22,18-24,United States,Maryton,"health, fitness",83
fcaae,Male,38,35-44,Brazil,Port Cassandra,lifestyle,84
fba51,Female,28,25-34,United Kingdom,Farrellton,"photography, fashion",85
7b9cd,Male,21,18-24,United Kingdom,South Kyle,"photography, food",86
65dda,Male,27,25-34,United Kingdom,East Heather,food,87
cdd16,Female,29,25-34,United States,Tinafort,"fashion, lifestyle",88
9111f,Male,21,18-24,Japan,Port Williefurt,finance,89
d74af,Male,23,18-24,United States,Lake Chris,fitness,90
9a803,Male,20,18-24,United Kingdom,Lucasview,"finance, art, sports",91
012d4,Male,21,18-24,United States,Johnside,"travel, finance",92
2190e,Female,16,16-17,United States,North Michelle,"photography, lifestyle, fitness",93
9.90E+04,Male,27,25-34,United States,Juliamouth,"technology, food",94
16ed8,Male,18,18-24,Australia,South Victor,"travel, sports",95
6aff1,Female,18,18-24,France,Normanland,"finance, technology",96
3571,Female,17,16-17,Brazil,Wilsonborough,sports,97
9.87E+05,Female,33,25-34,United Kingdom,South Charlesport,travel,98
